0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,,,,,,,,,,,,,
Name,EP_type,Rougness in OS,Conductivity [W/mK],Density [kg/m3],Specific Heat [J/kgK],Thermal absorptance in OS = Emissivity in IES,Solar absorptance,Visible Absorptance in OS (1-A = R ),Porosity,Initial Water,Niso,Rhiso,Wiso,Nsuc,Wsuc,Dsuc,Nred,Wred,Dred,Nmu,Rhmu,Dmu,Nthm,Wthm,Dthm,EMPD depth(m),"EMPD ""a""","EMPD ""b""","EMPD ""c""","EMPD ""d""",Solar T,F Solar Reflec,B Solar Reflec,Vis Transmittance,F Vis Reflec,B Vis Reflec,Infrared Trans,F IR Emiss,B IR Emmis,EP_Special,Solar Transmittance,Solar Reflectance,Visible Transmittance,Visible Reflectance,Thermal Hemispherical Emissivity,Thermal Transmittance,Shade to Glass Distance {m},Top Opening Multiplier,Bottom Opening Multiplier,Left-Side Opening Multiplier,Right-Side Opening Multiplier,Airflow Permeability,Slat Orientaion,Slat Width,Slat Separation,Slat Angle,Blind to Glass Dist,thickness in m,thermal resistance,Solar heat gain coefficient,U-factor,sigma conductivity,lower,upper,,,OPENSTUDIO,Solar Transmittance at normal incidence,Front Side Solar reflectance at normal incidence (absorptance = 1-reflectance),back side solar reflectance at normal incidence,Visible Transmittance,Front side visible reflectance,Back side visible reflectance,Infrared Transmittance,Front side infrared hemispherical emissivity,back side infrared hemispherical emissivity,Dirt correction factor for solar and visible transmittance
Face_Brick,Material,MediumRough,1.5,2083,921,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.075,1.275,1.725,20,,,External walls (outside to inside),,,,,,,,,
AirCavity12wall,Material:AirGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0127,0.18,,,0.009,0.153,0.207,20,,,,,,,,,,,,
HWConcreteBlock,Material,MediumRough,1.5,2234,837,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.075,1.275,1.725,20,,,,,,,,,,,,
Gypsum_PlasterBoard_HFE1,Material,MediumRough,0.15,801,837,0.9,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0191,,,,0.0075,0.1275,0.1725,20,,,,,,,,,,,,
LondonClay,Material,MediumRough,1.41,1900,1000,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,0.0705,1.1985,1.6215,20,,,Exposed Floor (outside to inside),,,,,,,,,
Brickwork_OuterLeaf,Material,MediumRough,0.84,1700,800,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,0.042,0.714,0.966,20,,,,,,,,,,,,
CastConcrete100,Material,MediumRough,0.64,2000,1000,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.032,0.544,0.736,20,,,,,,,,,,,,
EPS_Insulation,Material,MediumRough,0.025,30,1400,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0635,,,,0.00125,0.02125,0.02875,20,,,,,,,,,,,,
Particleboard_HighDensity,Material,MediumSmooth,0.15,800,2093,0.9,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,0.0075,0.1275,0.1725,20,,,,,,,,,,,,
Synthetic_Carpet,Material,Smooth,0.06,160,2500,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.003,0.051,0.069,20,,,,,,,,,,,,
Pilkington_6mm,WindowMaterial:Glazing,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,0.053,0.901,1.219,20,,,External window (outside to inside),,,,,,,,,
Pilkington_6mm,WindowMaterial:Glazing,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,0.053,0.901,1.219,20,,,,,,,,,,,,
Pine_20perc_moist,Material,MediumRough,0.14,419,2720,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.007,0.119,0.161,20,,,Internal door,,,,,,,,,
StoneChippings,Material,MediumRough,0.96,1800,1000,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.048,0.816,1.104,20,,,External Roof (outside to inside),,,,,,,,,
CastConcrete350,Material,MediumRough,0.64,2000,1000,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,0.032,0.544,0.736,20,,,,,,,,,,,,
Plasterboard13,Material,MediumSmooth,0.16,600,1000,0.9,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,0.008,0.136,0.184,20,,,Internal partition,,,,,,,,,
Brickwork_internal,Material,MediumRough,0.62,1700,800,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,,,0.031,0.527,0.713,20,,,,,,,,,,,,
Plasterboard13,Material,MediumSmooth,0.16,600,1000,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,0.008,0.136,0.184,20,,,,,,,,,,,,
CastConcrete200,Material,MediumRough,1.4,2100,840,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.07,1.19,1.61,20,,,Internal ceiling,,,,,,,,,
ExternalWindow_ShadeRoller,WindowMaterial:Shade,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,0.4,0.5,,,0.05,,,,,,,,,,,0.005,,,,0.005,0.085,0.115,20,,,,,,,,,,,,
