,Urban,
,Suburbs,
,Country,
,Suburbs,
,Ocean,
,,
0,1,2
Name,Terrain,Shading
,,
City-EndTerrace,City,End-Terrace
City-MidTerrace,City,Mid-Terrace
City-Semi,City,Semi
City-Detached,City,Detached
City-HighRise,City,HighRise
Urban-EndTerrace,Urban,End-Terrace
Urban-MidTerrace,Urban,Mid-Terrace
Urban-Semi,Urban,Semi
Urban-Detached,Urban,Detached
Urban-HighRise,Urban,HighRise
Country-EndTerrace,Country,End-Terrace
Country-MidTerrace,Country,Mid-Terrace
Country-Semi,Country,Semi
Country-Detached,Country,Detached
Country-HighRise,Country,HighRise
