External Node,Angle,L1,L2,L3,L4,Ceiling,Floor
Orient,,L1,L2,L3,L4,Ceiling,Floor
Value,0,0.603,-0.34,-0.452,-0.34,0,0
Value,30,0.48,0.183,-0.37,-0.632,0,0
Value,60,0.183,0.48,-0.632,-0.37,0,0
Value,90,-0.34,0.603,-0.34,-0.452,0,0
Value,120,-0.632,0.603,0.183,-0.37,0,0
Value,150,-0.37,0.48,0.48,-0.632,0,0
Value,180,-0.452,0.183,0.603,-0.34,0,0
Value,210,-0.37,-0.34,0.48,0.183,0,0
Value,240,-0.632,-0.632,0.183,0.48,0,0
Value,270,-0.34,-0.37,-0.34,0.603,0,0
Value,300,0.183,-0.452,-0.632,0.603,0,0
Value,330,0.48,-0.37,-0.37,0.48,0,0
Value,360,0.603,-0.632,-0.452,0.183,0,0
